证券代码,证券简称,上市日期,"华证ESG评级
[交易日期] 2009-12-31","华证ESG评级
[交易日期] 2010-12-31","华证ESG评级
[交易日期] 2011-12-31","华证ESG评级
[交易日期] 2012-12-31","华证ESG评级
[交易日期] 2013-12-31","华证ESG评级
[交易日期] 2014-12-31","华证ESG评级
[交易日期] 2015-12-31","华证ESG评级
[交易日期] 2016-12-31","华证ESG评级
[交易日期] 2017-12-31","华证ESG评级
[交易日期] 2018-12-31","华证ESG评级
[交易日期] 2019-12-31","华证ESG评级
[交易日期] 2020-12-31",2009_量化值,2010_量化值,2011_量化值,2012_量化值,2013_量化值,2014_量化值,2015_量化值,2016_量化值,2017_量化值,2018_量化值,2019_量化值,2020_量化值
000425.SZ,徐工机械,1996-08-28,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000426.SZ,兴业矿业,1996-08-28,BBB,BBB,BBB,CC,CCC,CC,B,CC,B,B,C,CCC,3,3,3,0,0,0,1,0,1,1,0,0
000428.SZ,华天酒店,1996-08-08,A,A,A,A,A,BBB,BB,BBB,BBB,BBB,A,A,4,4,4,4,4,3,2,3,3,3,4,4
000429.SZ,粤高速A,1998-02-20,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
000430.SZ,张家界,1996-08-29,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,BBB,BBB,3,3,3,3,3,3,3,3,3,4,3,3
000488.SZ,晨鸣纸业,2000-11-20,AA,AA,AA,AA,BBB,BBB,BBB,BBB,BBB,BBB,B,BB,5,5,5,5,3,3,3,3,3,3,1,2
000498.SZ,山东路桥,1997-06-09,BB,B,B,BB,BB,BBB,A,AA,AA,AA,AA,AA,2,1,1,2,2,3,4,5,5,5,5,5
000501.SZ,鄂武商A,1992-11-20,A,A,A,A,A,A,A,A,A,A,BB,BBB,4,4,4,4,4,4,4,4,4,4,2,3
000502.SZ,*ST绿景,1992-11-23,A,A,A,A,A,A,A,A,BBB,BBB,A,A,4,4,4,4,4,4,4,4,3,3,4,4
000503.SZ,国新健康,1992-11-30,AA,AA,AA,AA,BBB,BB,AA,AA,AA,AA,AA,AA,5,5,5,5,3,2,5,5,5,5,5,5
000504.SZ,南华生物,1992-12-08,BBB,BBB,BBB,BBB,BBB,BB,CCC,BB,BBB,A,A,A,3,3,3,3,3,2,0,2,3,4,4,4
000505.SZ,京粮控股,1992-12-21,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,BB,BBB,BBB,BBB,3,3,3,3,3,2,3,3,2,3,3,3
000506.SZ,中润资源,1993-03-12,BBB,BBB,BBB,BBB,BBB,BBB,A,BBB,BBB,BBB,B,B,3,3,3,3,3,3,4,3,3,3,1,1
000507.SZ,珠海港,1993-03-26,BBB,BB,BB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,2,2,3,3,3,3,3,3,3,3,3
000509.SZ,*ST华塑,1993-05-07,BBB,BBB,BBB,BBB,CCC,B,B,BB,BBB,BB,CC,B,3,3,3,3,0,1,1,2,3,2,0,1
000510.SZ,新金路,1993-05-07,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,CC,CCC,BB,BB,3,3,3,3,3,3,3,1,0,0,2,2
000513.SZ,丽珠集团,1993-10-28,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,BBB,B,BB,BBB,3,3,3,3,3,3,2,3,3,1,2,3
000514.SZ,渝开发,1993-07-12,A,A,A,BBB,A,A,A,A,A,A,A,A,4,4,4,3,4,4,4,4,4,4,4,4
000516.SZ,国际医学,1993-08-09,AA,A,A,A,A,A,AA,AA,AA,AA,AA,AA,5,4,4,4,4,4,5,5,5,5,5,5
000517.SZ,荣安地产,1993-08-06,A,A,A,A,A,AA,AA,AA,AAA,AAA,AA,AA,4,4,4,4,4,5,5,5,6,6,5,5
000518.SZ,四环生物,1993-09-08,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,B,BB,B,B,3,3,3,3,3,3,3,3,1,2,1,1
000519.SZ,中兵红箭,1993-10-08,BBB,BBB,BBB,BBB,BBB,A,A,A,A,BB,B,BB,3,3,3,3,3,4,4,4,4,2,1,2
000520.SZ,长航凤凰,1993-10-25,AA,A,BBB,BBB,BB,BB,BB,BB,BB,B,BB,BB,5,4,3,3,2,2,2,2,2,1,2,2
000521.SZ,长虹美菱,1993-10-18,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,3,3,3,3,3,3,3,3,3,3,2,3
000523.SZ,*ST浪奇,1993-11-08,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BBB,3,3,3,3,3,3,3,3,3,3,2,3
000524.SZ,岭南控股,1993-11-18,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000525.SZ,ST红太阳,1993-10-28,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,CCC,3,3,3,3,3,3,3,3,3,3,3,0
000526.SZ,学大教育,1993-11-01,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,CCC,CCC,BB,BBB,3,3,3,3,3,3,3,2,0,0,2,3
000528.SZ,柳工,1993-11-18,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000529.SZ,广弘控股,1993-11-18,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,BBB,BBB,3,3,3,3,3,3,3,4,4,4,3,3
000530.SZ,冰山冷热,1993-12-08,BBB,BBB,BBB,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,3,3,3,3,3,5,5,5,5,5,5,5
000531.SZ,穗恒运A,1994-01-06,BBB,BBB,BBB,BBB,BBB,A,A,A,A,A,A,A,3,3,3,3,3,4,4,4,4,4,4,4
000532.SZ,华金资本,1994-01-03,AAA,AA,AAA,AA,A,A,A,A,BBB,BBB,BBB,A,6,5,6,5,4,4,4,4,3,3,3,4
000533.SZ,顺钠股份,1994-01-03,BBB,BBB,BBB,BBB,BB,BBB,BBB,BBB,BBB,BBB,BB,BB,3,3,3,3,2,3,3,3,3,3,2,2
000534.SZ,万泽股份,1994-01-10,A,A,A,A,A,A,A,A,BBB,BBB,BB,BB,4,4,4,4,4,4,4,4,3,3,2,2
000536.SZ,华映科技,1993-11-26,A,AA,AA,AA,AA,AA,AA,AA,AA,A,BBB,BB,4,5,5,5,5,5,5,5,5,4,3,2
000537.SZ,广宇发展,1993-12-10,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000538.SZ,云南白药,1993-12-15,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000539.SZ,粤电力A,1993-11-26,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000540.SZ,中天金融,1994-02-02,A,A,A,AAA,AA,AA,AA,AA,AA,AAA,AAA,AAA,4,4,4,6,5,5,5,5,5,6,6,6
000541.SZ,佛山照明,1993-11-23,AA,AA,AA,BB,BB,BB,BBB,A,A,A,BBB,BBB,5,5,5,2,2,2,3,4,4,4,3,3
000543.SZ,皖能电力,1993-12-20,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,A,A,A,A,3,3,3,3,3,3,3,3,4,4,4,4
000544.SZ,中原环保,1993-12-08,A,A,A,A,A,A,A,A,A,A,AA,AAA,4,4,4,4,4,4,4,4,4,4,5,6
000545.SZ,金浦钛业,1993-12-15,BB,BB,BB,BB,CCC,BB,BBB,BBB,BBB,BBB,BBB,BBB,2,2,2,2,0,2,3,3,3,3,3,3
000546.SZ,金圆股份,1993-12-15,B,BBB,BBB,BBB,BBB,BBB,A,BB,BBB,BBB,BB,B,1,3,3,3,3,3,4,2,3,3,2,1
000547.SZ,航天发展,1993-11-30,AA,AA,AA,A,A,AA,AA,AA,AA,AA,AA,AA,5,5,5,4,4,5,5,5,5,5,5,5
000548.SZ,湖南投资,1993-12-20,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BB,BB,3,3,3,3,3,3,3,3,3,3,2,2
000550.SZ,江铃汽车,1993-12-01,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,3,3,5,5,5,5,5,5,5,5,5,5
000551.SZ,创元科技,1994-01-06,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000552.SZ,靖远煤电,1994-01-06,BBB,BBB,BBB,BBB,A,A,A,BBB,A,A,BBB,C,3,3,3,3,4,4,4,3,4,4,3,0
000553.SZ,安道麦A,1993-12-03,BBB,BBB,BBB,B,BB,BBB,BBB,BBB,BBB,BBB,BB,BB,3,3,3,1,2,3,3,3,3,3,2,2
000554.SZ,泰山石油,1993-12-15,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000555.SZ,神州信息,1994-04-08,BBB,BBB,BBB,BBB,BBB,A,A,BBB,A,A,BB,BBB,3,3,3,3,3,4,4,3,4,4,2,3
000557.SZ,西部创业,1994-06-17,BBB,BB,BB,BB,BBB,BBB,B,BB,BB,BBB,BB,BB,3,2,2,2,3,3,1,2,2,3,2,2
000558.SZ,莱茵体育,1994-05-09,A,A,A,A,A,A,A,A,A,A,BB,BBB,4,4,4,4,4,4,4,4,4,4,2,3
000559.SZ,万向钱潮,1994-01-10,BBB,BBB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,3,3,5,5,5,5,5,5,5,5,5,5
000560.SZ,我爱我家,1994-02-02,A,A,A,A,A,A,A,A,A,BBB,BBB,A,4,4,4,4,4,4,4,4,4,3,3,4
000561.SZ,烽火电子,1994-05-09,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
000563.SZ,陕国投A,1994-01-10,AA,AA,AA,AA,AA,AA,AA,AAA,AAA,AAA,B,BBB,5,5,5,5,5,5,5,6,6,6,1,3
